GEO,age999,age0-19,age20-44,age45-54,age55-64,age65-74,age75-84,age85plus,per0-19,per20-44,per45-54,per55-64,per65-74,per75-84,per85plus
United States,327167434.0,81982665.0,108849241.0,41631699.0,42272636.0,30492316.0,15394374.0,6544503.0,0.25058320749613483,0.33270194306686407,0.12724890888742918,0.12920795778225286,0.09320095104575721,0.04705350349753943,0.020003528224022443
Alabama,4887871.0,1217278.0,1561062.0,627458.0,655179.0,487721.0,249308.0,89865.0,0.24904053318919422,0.3193746316136412,0.12837040912086264,0.13404179447452685,0.09978188867914067,0.051005437745799756,0.01838530517683466
Alaska,737438.0,201193.0,266515.0,88117.0,94602.0,58555.0,21603.0,6853.0,0.2728270037616722,0.3614066538475099,0.11949072328792387,0.1282846829157163,0.07940328542874113,0.02929466612786431,0.009292984630572333
Arizona,7171646.0,1837877.0,2358452.0,850790.0,866277.0,726162.0,389813.0,142275.0,0.25626989954607354,0.32885783821454656,0.11863245899198037,0.12079193535207956,0.10125457949262973,0.05435474645569511,0.019838541946995154
Arkansas,3013825.0,782120.0,966744.0,368667.0,384467.0,296011.0,156799.0,59017.0,0.259510754605858,0.32076978590329563,0.1223252843147827,0.12756779175964097,0.09821771337088252,0.05202657752191982,0.019582092523620316
California,39557045.0,10023550.0,14011270.0,5071974.0,4781226.0,3285414.0,1640026.0,743585.0,0.25339481247904133,0.35420416262134846,0.12821923376733524,0.12086913974489247,0.08305509170363964,0.04145977031398579,0.01879778936975702
Colorado,5695564.0,1413549.0,2053015.0,710171.0,710600.0,500798.0,219067.0,88364.0,0.24818420089740015,0.36045859549642495,0.12468844174167826,0.12476376351841538,0.08792772761398168,0.03846274047662356,0.015514530255476016
Connecticut,3572665.0,838946.0,1111842.0,494951.0,511805.0,343570.0,179680.0,91871.0,0.23482358407519316,0.31120801978355095,0.13853831803429653,0.14325580484036426,0.0961663072244389,0.050292988567357984,0.025714977474798225
Delaware,967171.0,229075.0,298880.0,122491.0,135639.0,108194.0,53055.0,19837.0,0.2368505672730055,0.30902498110468574,0.1266487518753147,0.1402430387180757,0.111866464151634,0.05485586313071835,0.020510333746566016
District of Columbia,702455.0,148712.0,322685.0,75453.0,70302.0,49104.0,24046.0,12153.0,0.21170324077698927,0.45936750396822573,0.10741328626032984,0.10008043219850382,0.06990341018285869,0.03423137425173143,0.017300752361361225
Florida,21299325.0,4713439.0,6626842.0,2746372.0,2854601.0,2397902.0,1388750.0,571419.0,0.22129522883941158,0.31112920245125136,0.12894173876402187,0.13402307350115555,0.11258112639719803,0.0652015967642167,0.026828033282744877
Georgia,10519475.0,2799446.0,3562500.0,1411438.0,1285682.0,895419.0,418357.0,146633.0,0.2661203149396714,0.33865758509811567,0.13417380620230573,0.12221921721378681,0.08512012243957041,0.03976976037302242,0.013939193733527576
Hawaii,1420491.0,333706.0,474467.0,170624.0,180727.0,148933.0,70990.0,41044.0,0.23492299493625796,0.3340161958083508,0.1201162133375009,0.12722854280667742,0.1048461412286315,0.04997567742421458,0.02889423445836686
Idaho,1754208.0,494846.0,566305.0,199925.0,214850.0,168241.0,80622.0,29419.0,0.28209083529433227,0.32282659753005344,0.11396881099618746,0.12247692405917657,0.0959070988161039,0.04595920210146117,0.0167705312026852
Illinois,12741080.0,3186074.0,4257008.0,1639850.0,1665187.0,1142253.0,584034.0,266674.0,0.25006310297086276,0.33411673107774226,0.12870572981254336,0.1306943367438239,0.08965119126479074,0.0458386573194737,0.020930250810763294
Indiana,6691878.0,1752893.0,2170854.0,839824.0,873286.0,615581.0,308630.0,130810.0,0.26194335880002595,0.3244013115600733,0.1254990004300736,0.13049939045511588,0.09198927416190193,0.04612008766447924,0.019547576928330136
Iowa,3156145.0,822019.0,1005428.0,371331.0,417537.0,300873.0,159866.0,79091.0,0.26045032785249095,0.31856204325213194,0.11765333975466907,0.13229335154119978,0.09532927035988524,0.050652298927964336,0.025059368311658684
Kansas,2911505.0,787676.0,952226.0,335937.0,373425.0,262857.0,133848.0,65536.0,0.27053911980230155,0.32705628188857655,0.11538259422532333,0.1282584093106486,0.0902821736524581,0.045972100339858595,0.02250932078083328
Kentucky,4468402.0,1125031.0,1438586.0,576814.0,597345.0,435205.0,214803.0,80618.0,0.25177479555330967,0.3219464139529076,0.1290873113027879,0.13368201876196456,0.09739611610593675,0.04807154772556274,0.01804179659753084
Louisiana,4659978.0,1211957.0,1560016.0,563306.0,606266.0,427946.0,209437.0,81050.0,0.26007783727734335,0.334768962428578,0.12088168656590224,0.13010061420890828,0.09183433913207316,0.0449437744126689,0.01739278597452606
Maine,1338404.0,282504.0,387747.0,180173.0,211981.0,163367.0,79213.0,33419.0,0.2110752807074695,0.28970848861778653,0.13461779851225789,0.1583834178618713,0.12206105181992881,0.05918467069733802,0.02496929178334793
Maryland,6042718.0,1494958.0,1984963.0,818927.0,812734.0,545452.0,267281.0,118403.0,0.24739827342596493,0.3284884384808293,0.1355229550675706,0.13449808513321324,0.09026600281528942,0.04423191682947972,0.019594328247652795
Massachusetts,6902149.0,1574719.0,2327632.0,921531.0,939167.0,653829.0,325419.0,159852.0,0.22814908805938555,0.33723294005968285,0.13351363466653646,0.13606878089708002,0.09472832301939585,0.04714748986149096,0.02315974343642828
Michigan,9995915.0,2431980.0,3154467.0,1290060.0,1402804.0,1004702.0,497916.0,213986.0,0.24329738698258238,0.3155756126377625,0.12905872048731906,0.14033772796187244,0.10051125884923992,0.04981194818083187,0.02140734490039181
Minnesota,5611179.0,1444186.0,1831255.0,691491.0,754445.0,510180.0,257938.0,121684.0,0.2573765691666582,0.3263583286150736,0.12323452878619627,0.13445391779517282,0.09092206824982771,0.04596859234039762,0.021685995046673793
Mississippi,2986530.0,791304.0,966065.0,368793.0,385893.0,280585.0,141549.0,52341.0,0.2649576598929192,0.3234740652195022,0.12348544966901387,0.1292111580998684,0.09395016959481405,0.04739580717421221,0.01752569034967002
Missouri,6126452.0,1533987.0,1977272.0,751688.0,829541.0,592577.0,309503.0,131884.0,0.250387499975516,0.32274340841975097,0.12269548508663743,0.1354031664656803,0.09672433571665949,0.05051912591496677,0.021526978420789062
Montana,1062305.0,255366.0,336372.0,120278.0,151387.0,119583.0,56624.0,22695.0,0.24038858896456292,0.31664352516461847,0.11322360339073995,0.14250803676910115,0.11256936567181741,0.05330295913132292,0.021363920907837203
Nebraska,1929268.0,530369.0,632214.0,219971.0,243048.0,172527.0,88061.0,43078.0,0.27490685586450403,0.3276963076151162,0.11401785547679223,0.12597938700066555,0.08942614504568572,0.04564477304345482,0.022328675953781435
Nevada,3034392.0,755722.0,1030589.0,395339.0,376561.0,293252.0,139567.0,43362.0,0.24905219892485875,0.3396360786608981,0.1302860671923733,0.12409767755781059,0.09664275413328272,0.04599504612456136,0.01429017740621515
New Hampshire,1356458.0,294625.0,413431.0,190242.0,212515.0,146933.0,68224.0,30488.0,0.21720171210608807,0.3047871736537364,0.14024908990916046,0.15666906015519833,0.10832108329192647,0.05029569658625627,0.022476184297633987
New Jersey,8908520.0,2168619.0,2846169.0,1235874.0,1219331.0,810098.0,426136.0,202293.0,0.24343201788849325,0.3194884223193078,0.13872944102948637,0.13687245468383075,0.09093519462267582,0.04783465715966288,0.022707812296543086
New Mexico,2095428.0,538061.0,676166.0,240865.0,274147.0,217884.0,107134.0,41171.0,0.256778567433479,0.32268634379229444,0.11494787699696674,0.1308310283149791,0.10398066647959271,0.0511275023527413,0.01964801462994672
New York,19542209.0,4565930.0,6612995.0,2555129.0,2594621.0,1809120.0,948095.0,456319.0,0.23364451787410523,0.3383954700310492,0.13074924129610935,0.13277009779191287,0.0925750000933876,0.04851524205886858,0.02335043085456716
North Carolina,10383620.0,2586608.0,3386924.0,1377840.0,1342983.0,1010458.0,493058.0,185749.0,0.24910464751213932,0.3261795019463347,0.13269360781692704,0.12933668604975915,0.09731269056456227,0.04748421070878942,0.017888655401488113
North Dakota,760077.0,199831.0,268781.0,80005.0,94823.0,64222.0,33619.0,18796.0,0.26290888949409075,0.3536233828941015,0.10525907243608214,0.12475446566597857,0.08449407099543862,0.04423104501254478,0.02472907350176364
Ohio,11689442.0,2902621.0,3695374.0,1484877.0,1611548.0,1150375.0,588310.0,256337.0,0.24831133941209513,0.3161292044564659,0.1270271925725796,0.13786355242619794,0.09841145539710108,0.05032832191647813,0.02192893381908221
Oklahoma,3943079.0,1062476.0,1307296.0,460310.0,493444.0,358646.0,187711.0,73196.0,0.26945338909009936,0.3315419244706992,0.11673872118717378,0.12514179908644996,0.09095582411612854,0.04760518366484669,0.01856315838460249
Oregon,4190713.0,972838.0,1422025.0,512674.0,544485.0,448192.0,206474.0,84025.0,0.23214140409997058,0.3393276991290026,0.12233574573109636,0.12992657812644293,0.10694886526469362,0.049269420263329894,0.020050287385464
