State,NumberHospitals,StaffedBeds
AK - Alaska,10,1235
AL - Alabama,91,15542
AR - Arkansas,52,7848
AS - American Samoa,1,0
AZ - Arizona,72,13296
CA - California,341,74186
CO - Colorado,55,8243
CT - Connecticut,34,8847
DC - Washington D.C.,7,2156
DE - Delaware,8,2072
FL - Florida,215,55727
GA - Georgia,112,22344
GU - Guam,3,306
HI - Hawaii,14,2583
IA - Iowa,39,6266
ID - Idaho,18,2470
IL - Illinois,141,28953
IN - Indiana,101,16084
KS - Kansas,58,6466
KY - Kentucky,75,13799
LA - Louisiana,110,14989
MA - Massachusetts,73,15193
MD - Maryland,54,10806
ME - Maine,19,2893
MI - Michigan,106,23819
MN - Minnesota,55,10518
MO - Missouri,84,16712
MP - Northern Mariana Islands,1,74
MS - Mississippi,70,9970
MT - Montana,17,2202
NC - North Carolina,108,23194
ND - North Dakota,11,2003
NE - Nebraska,26,4225
NH - New Hampshire,14,2266
NJ - New Jersey,76,20207
NM - New Mexico,37,3917
NV - Nevada,31,5726
NY - New York,187,57261
OH - Ohio,148,27185
OK - Oklahoma,90,10312
OR - Oregon,37,6218
PA - Pennsylvania,176,34816
PR - Puerto Rico,53,8222
RI - Rhode Island,11,2424
SC - South Carolina,65,11455
SD - South Dakota,24,2735
TN - Tennessee,101,18522
TX - Texas,363,58055
UT - Utah,35,4630
VA - Virginia,90,17719
VI - Virgin Islands,2,184
VT - Vermont,7,828
WA - Washington,62,10231
WI - Wisconsin,76,11050
WV - West Virginia,37,5712
WY - Wyoming,14,1261
T O T A L,3917,745957
